Aircraft,Inservice
Dassault Rafale,8[1]
HAL Tejas,31[2][3]
Sukhoi Su-30MKI,259[8][9]
Mikoyan MiG-29,52[1][11][12]
Dassault Mirage 2000,37[1]
SEPECAT Jaguar,28[1]
Mikoyan-Gurevich MiG-21,40[13]
Embraer R-99,3[15]
Beriev A-50,3[15]
Boeing 707,1[15]
Global 5000,2[15]
Gulfstream III,3[15]
Boeing 737,2[15]
Gulfstream G100,2[15]
Ilyushin Il-78,6[15]
Boeing 777,2[21]
Embraer Legacy 600,4[22]
Boeing C-17,11[15]
Ilyushin Il-76,17[15]
C-130J Super Hercules,12[15]
Airbus A321,4[15]
Antonov An-32,103[15]
EADS CASA C-295,6[25]
Hawker Siddeley HS 748,56[15]
Dornier Do 228,61[15]
Boeing AH-64,22[15]
Mil Mi-24,15[15]
HAL Prachand,10[28]
HAL Rudra,16
CH-47 Chinook,15[15]
Mil Mi-17,222[15]
HAL Dhruv,95[15]
HAL Light Utility Helicopter,
Alouette III,79[15]
SA 315B Lama,18[15]
BAE Hawk,102[15]
HAL Kiran,77[15]
HAL HTT-40,
Pilatus PC-7,74[15]
Pipistrel Virus,72[34][35]
IAI Heron,N/A
MQ-9 Reaper,0
ALS-50,100[41]
